date, pm25, pm10, o3, no2, so2, co
2019/11/15, 35, 9, 27, 7, , 
2019/11/16, 34, 13, 29, 6, , 
2019/11/17, 37, 11, 24, 8, , 
2019/11/18, 47, 9, 28, 3, , 
2019/11/19, 40, 15, 20, 18, , 
2019/11/20, 40, 33, 16, 19, , 
2019/11/21, 59, , , , , 
2019/11/23, 32, 10, 36, 3, , 
2019/11/24, 37, 19, 31, 5, , 
2019/11/25, 35, 16, 23, 11, , 
2019/11/26, 50, 17, 15, 13, , 
2019/11/27, 38, 13, 27, 7, , 
2019/11/28, 36, 18, 23, 8, , 
2019/11/29, 41, 17, 23, 11, , 
2019/11/30, 38, 13, 28, 6, , 
2019/12/1, 37, 9, 26, 4, , 
2019/12/2, 36, 6, 30, 2, , 
2019/12/3, 33, 7, 28, 2, , 
2019/12/4, 34, 10, 27, 3, , 
2019/12/5, 42, 9, 28, 3, , 
2019/12/6, 39, 25, 27, 7, , 
2019/12/7, 42, 36, 20, 14, , 
2019/12/8, 50, 34, 7, 19, , 
2019/12/9, 63, 23, 11, 18, , 
2019/12/10, 55, 34, 5, 19, , 
2019/12/11, 65, 35, 24, 19, , 
2019/12/12, 59, 11, 28, 9, , 
2019/12/13, 37, 8, 32, 3, , 
2019/12/14, 37, 15, 24, 10, , 
2019/12/15, 46, 18, 15, 11, , 
2019/12/16, 50, 14, 25, 6, , 
2019/12/17, 39, 18, 22, 12, , 
2019/12/18, 52, 22, 15, 17, , 
2019/12/19, 51, 12, 25, 6, , 
2019/12/20, 37, 7, 29, 6, , 
2019/12/21, 32, 9, 31, 2, , 
2019/12/22, 39, 24, 35, 2, , 
2019/12/23, 51, 31, 31, 14, , 
2019/12/24, 53, 32, 21, 9, , 
2019/12/25, 59, 27, 17, 10, , 
2019/12/26, 51, 42, 24, 8, , 
2019/12/27, 53, 38, 22, 7, , 
2019/12/28, 46, 48, 25, 10, , 
2019/12/29, 45, , 22, 14, , 
2019/12/30, 51, , , , , 
2019/7/2, 59, 30, 62, 3, , 
2019/7/3, 57, 29, 51, 5, , 
2019/7/4, 59, 22, 49, 4, , 
2019/7/5, 55, 27, 50, 6, , 
2019/7/6, 61, 20, 48, 7, , 
2019/7/7, 57, 17, 52, 5, , 
2019/7/8, 53, 21, 47, 6, , 
2019/7/9, 58, 24, 55, 4, , 
2019/7/10, 53, 31, 55, 3, , 
2019/7/11, 50, 26, 79, 6, , 
2019/7/12, 51, 29, 43, 7, , 
2019/7/13, 57, 54, 50, 4, , 
2019/7/14, 72, , 34, 2, , 
2019/7/15, 70, 12, 57, 3, , 
2019/7/16, 55, 18, 56, 3, , 
2019/7/17, 54, 19, 62, 4, , 
2019/7/18, 59, 26, 77, 3, , 
2019/7/19, 59, 25, 63, 4, , 
2019/7/20, 59, 30, 62, 3, , 
2019/7/21, 63, 35, 50, 2, , 
2019/7/22, 72, 32, 45, 2, , 
2019/7/23, 70, 29, 47, 4, , 
2019/7/24, 63, 34, 53, 5, , 
2019/7/25, 67, 31, 60, 5, , 
2019/7/26, 66, 28, 43, 6, , 
2019/7/27, 66, 14, 36, 2, , 
2019/7/28, 45, 8, 42, 2, , 
2019/7/29, 36, 12, 44, 5, , 
2019/7/30, 45, 14, 50, 2, , 
2019/7/31, 43, 16, 43, 2, , 
2019/8/1, 47, 25, 50, 4, , 
2019/8/2, 62, 21, 68, 4, , 
2019/8/3, 55, 26, 60, 4, , 
2019/8/4, 54, 21, 54, 5, , 
2019/8/5, 56, 19, 50, 6, , 
2019/8/6, 57, 19, 50, 7, , 
2019/8/7, 55, 20, 32, 6, , 
2019/8/8, 53, 17, 33, 6, , 
2019/8/9, 50, 18, 21, 3, , 
2019/8/10, 44, 17, 48, 4, , 
2019/8/11, 46, 15, 46, 4, , 
2019/8/12, 52, 12, 40, 1, , 
2019/8/13, 41, 9, 46, 2, , 
2019/8/14, 33, 13, 61, 4, , 
2019/8/15, 50, 20, 50, 2, , 
2019/8/16, 53, 15, 49, 3, , 
2019/8/17, 51, 17, 47, 3, , 
2019/8/18, 54, 19, 46, 4, , 
2019/8/19, 54, 15, 37, 3, , 
2019/8/20, 43, 13, 34, 2, , 
2019/8/21, 42, 11, 44, 2, , 
2019/8/22, 47, 16, 50, 5, , 
2019/8/23, 56, 14, 58, 5, , 
2019/8/24, 53, 16, 67, 5, , 
2019/8/25, 57, 17, 48, 2, , 
2019/8/26, 59, 14, 38, 3, , 
2019/8/27, 56, 16, 53, 4, , 
2019/8/28, 57, 15, 63, 9, , 
2019/8/29, 58, 17, 66, 7, , 
2019/8/30, 56, 21, 60, 5, , 
2019/8/31, 55, 18, 62, 7, , 
2019/9/1, 54, 23, 49, 5, , 
2019/9/2, 55, 18, 43, 2, , 
2019/9/3, 53, 17, 52, 4, , 
2019/9/4, 51, 21, 52, 4, , 
2019/9/5, 52, 17, 37, 1, , 
2019/9/6, 47, 8, 38, 1, , 
2019/9/7, 34, 10, 41, 2, , 
2019/9/8, 41, 14, 47, 2, , 
2019/9/9, 51, 19, 42, 5, , 
2019/9/10, 49, 16, 30, 1, , 
2019/9/11, 42, 10, 39, 1, , 
2019/9/12, 35, 13, 39, 2, , 
2019/9/13, 46, 18, 40, 2, , 
2019/9/14, 53, 17, 35, 3, , 
2019/9/15, 52, 19, 36, 3, , 
2019/9/16, 55, , 36, 10, , 
2019/9/17, 52, 24, 48, 5, , 
2019/9/18, 61, 19, 44, 6, , 
2019/9/19, 49, 23, 41, 8, , 
2019/9/20, 51, 23, 48, 2, , 
2019/9/21, 53, 16, 25, 9, , 
2019/9/22, 37, , , , , 
2019/9/25, 52, 18, 36, 4, , 
2019/9/26, 42, 16, 36, 7, , 
2019/9/27, 43, 24, 42, 8, , 
2019/9/28, 50, 19, 42, 6, , 
2019/9/29, 42, 20, 46, 6, , 
2019/9/30, 43, 20, 40, 14, , 
2019/10/1, 43, 31, 34, 13, , 
2019/4/2, 45, 13, 26, 11, , 
2019/4/3, 53, 17, 40, 7, , 
2019/4/4, 54, 11, 37, 6, , 
2019/4/5, 40, 11, 34, 8, , 
2019/4/6, 37, 7, 35, 4, , 
2019/4/7, 38, 6, 38, 4, , 
2019/4/8, 37, 9, 35, 6, , 
2019/4/9, 45, 8, 34, 7, , 
2019/4/10, 51, 8, 36, 5, , 
2019/4/11, 37, 8, 39, 3, , 
2019/4/12, 38, 8, 43, 5, , 
2019/4/13, 40, 12, 47, 7, , 
2019/4/14, 46, 15, 34, 7, , 
2019/4/15, 53, 17, 36, 6, , 
2019/4/16, 53, 16, 42, 5, , 
2019/4/17, 37, 16, 39, 3, , 
2019/4/18, 50, 19, 44, 1, , 
2019/4/19, 52, 5, 37, 3, , 
2019/4/20, 30, 10, 45, 2, , 
2019/4/21, 49, 9, 41, 2, , 
2019/4/22, 50, 11, 39, 5, , 
2019/4/23, 53, 16, 37, 7, , 
2019/4/24, 55, 7, 30, 6, , 
2019/4/25, 36, 6, 31, 4, , 
2019/4/26, 37, 9, 36, 5, , 
2019/4/27, 38, 10, 38, 4, , 
2019/4/28, 40, 10, 38, 3, , 
2019/4/29, 43, 9, 37, 3, , 
2019/4/30, 42, 12, 36, 4, , 
2019/5/1, 44, 16, 32, 3, , 
2019/5/2, 43, 11, 43, 2, , 
2019/5/3, 41, 13, 36, 2, , 
2019/5/4, 45, 8, 40, 2, , 
2019/5/5, 33, 6, 42, 1, , 
2019/5/6, 35, 9, 41, 7, , 
2019/5/7, 41, 17, 33, 8, , 
2019/5/8, 55, 15, 26, 3, , 
2019/5/9, 42, 14, 33, 6, , 
2019/5/10, 40, 12, 21, 4, , 
2019/5/11, 41, 12, 41, 2, , 
2019/5/12, 48, 23, 42, 1, , 
2019/5/13, 45, 8, 44, 2, , 
2019/5/14, 46, 13, 48, 7, , 
2019/5/15, 50, 21, 41, 4, , 
2019/5/16, 57, 18, 44, 5, , 
2019/5/17, 48, 20, 39, 2, , 
2019/5/18, 51, 8, 35, 1, , 
2019/5/19, 35, 10, 38, 2, , 
2019/5/20, 38, 9, 36, 5, , 
2019/5/21, 40, 13, 44, 2, , 
2019/5/22, 49, 14, 51, 4, , 
2019/5/23, 50, 21, 42, 5, , 
2019/5/24, 58, 19, 35, 1, , 
2019/5/25, 52, 8, 32, 1, , 
2019/5/26, 34, 7, 31, 1, , 
2019/5/27, 44, 8, 32, 2, , 
2019/5/28, 54, 8, 39, 1, , 
2019/5/29, 50, 9, 29, 1, , 
2019/5/30, 55, 9, 36, 2, , 
2019/5/31, 41, 9, 51, 5, , 
2019/6/1, 44, 18, 55, 5, , 
2019/6/2, 51, 16, 53, 3, , 
2019/6/3, 52, 18, 47, 3, , 
2019/6/4, 53, 24, 37, 6, , 
2019/6/5, 53, 17, 35, 3, , 
2019/6/6, 52, 13, 40, 5, , 
2019/6/7, 39, 17, 41, 3, , 
2019/6/8, 47, 9, 42, 2, , 
2019/6/9, 42, 20, 43, 3, , 
2019/6/10, 54, 13, 39, 2, , 
2019/6/11, 45, 12, 41, 1, , 
2019/6/12, 37, 10, 48, 5, , 
2019/6/13, 40, 14, 53, 3, , 
2019/6/14, 48, 21, 48, 6, , 
2019/6/15, 55, 18, 55, 4, , 
2019/6/16, 47, 14, 52, 3, , 
2019/6/17, 52, 22, 55, 5, , 
2019/6/18, 54, 23, 49, 6, , 
2019/6/19, 59, 23, 35, 4, , 
2019/6/20, 50, 22, 38, 3, , 
2019/6/21, 51, 19, 45, 2, , 
2019/6/22, 47, 25, 50, 3, , 
2019/6/23, 47, 54, 50, 4, , 
2019/6/24, 56, 50, 44, 4, , 
2019/6/25, 55, 42, 46, 4, , 
2019/6/26, 50, 50, 46, 4, , 
2019/6/27, 57, 51, 47, 2, , 
2019/6/28, 65, 45, 49, 2, , 
2019/6/29, 63, 25, 64, 4, , 
2019/6/30, 55, 28, 60, 3, , 
2019/7/1, 53, 30, 58, 3, , 
2019/1/2, 60, 30, 68, 8, , 
2019/1/3, 57, 25, , , , 
2019/1/4, 53, , , , , 
2019/1/12, 46, 27, 26, 7, , 
2019/1/13, 57, 20, 21, 15, , 
2019/1/14, 57, 32, 17, 23, , 
2019/1/15, 68, 35, 25, 13, , 
2019/1/16, 59, 37, 16, 20, , 
2019/1/17, 67, 43, 16, 17, , 
2019/1/18, 91, 31, 25, 34, , 
2019/1/19, 72, 36, 8, 32, , 
2019/1/20, 83, 24, 30, 7, , 
2019/1/21, 75, 6, 29, 3, , 
2019/1/22, 39, 9, 24, 16, , 
2019/1/23, 49, 10, 32, 4, , 
2019/1/24, 39, 8, 31, 2, , 
2019/1/25, 29, 6, 32, 6, , 
2019/1/26, 35, 7, 41, 11, , 
2019/1/27, 34, 11, 5, 16, , 
2019/1/28, 50, , 32, 6, , 
2019/1/30, 47, 16, 32, 7, , 
2019/1/31, 38, 9, 23, 6, , 
2019/2/1, 36, 6, 35, 5, , 
2019/2/2, 30, 6, 33, 3, , 
2019/2/3, 36, 7, 31, 2, , 
2019/2/4, 41, 10, 25, 23, , 
2019/2/5, 51, 32, 14, 29, , 
2019/2/6, 71, 32, 19, 15, , 
2019/2/7, 59, 31, 21, 22, , 
2019/2/8, 66, 33, 21, 16, , 
2019/2/9, 63, 27, 20, 19, , 
2019/2/10, 68, 18, 23, 9, , 
2019/2/11, 67, 10, 33, 3, , 
2019/2/12, 44, 10, 30, 7, , 
2019/2/13, 35, 16, 24, 9, , 
2019/2/14, 53, 20, 28, 8, , 
2019/2/15, 57, 26, 26, 15, , 
2019/2/16, 60, 35, 36, 6, , 
2019/2/17, 66, 18, 34, 7, , 
2019/2/18, 53, 21, 30, 7, , 
2019/2/19, 59, 35, 27, 16, , 
2019/2/20, 68, 52, 27, 19, , 
2019/2/21, 77, 53, 29, 10, , 
2019/2/22, 84, 48, 28, 12, , 
2019/2/23, 78, 44, 29, 11, , 
2019/2/24, 70, 43, 36, 7, , 
2019/2/25, 71, 37, 29, 13, , 
2019/2/26, 73, 38, 36, 13, , 
2019/2/27, 72, 30, 30, 14, , 
2019/2/28, 58, 34, 35, 11, , 
2019/3/1, 57, 32, 34, 7, , 
2019/3/2, 58, 28, 33, 11, , 
2019/3/3, 61, 26, 33, 7, , 
2019/3/4, 58, 17, 28, 7, , 
2019/3/5, 52, 15, 28, 8, , 
2019/3/6, 51, 18, 26, 7, , 
2019/3/7, 49, 11, 30, 9, , 
2019/3/8, 40, 16, 25, 9, , 
2019/3/9, 50, 14, 28, 10, , 
2019/3/10, 49, 18, 23, 8, , 
2019/3/11, 61, 14, 30, 3, , 
2019/3/12, 51, 13, 27, 9, , 
2019/3/13, 41, 16, 36, 2, , 
2019/3/14, 43, 8, 30, 10, , 
2019/3/15, 39, 18, 31, 15, , 
2019/3/16, 45, 21, 36, 9, , 
2019/3/17, 53, 20, 33, 6, , 
2019/3/18, 54, 16, 36, 2, , 
2019/3/19, 43, 7, 37, 2, , 
2019/3/20, 36, 6, 37, 2, , 
2019/3/21, 33, 10, 36, 7, , 
2019/3/22, 43, 18, 41, 6, , 
2019/3/23, 52, 21, 37, 4, , 
2019/3/24, 55, 20, 38, 4, , 
